n_hidden,learning_gain,momentum_gain,min_mse,avg_mse,test_mse
5,0.010,0.0000,0.00004313,0.00233173,0.00004505
5,0.010,0.0001,0.00004313,0.00233144,0.00004505
5,0.010,0.0010,0.00004313,0.00232889,0.00004505
5,0.010,0.0100,0.00004312,0.00230349,0.00004504
5,0.010,0.1000,0.00004299,0.00205667,0.00004482
5,0.010,0.5000,0.00003908,0.00113244,0.00004018
5,0.010,0.7000,0.00002995,0.00083660,0.00003044
5,0.010,0.9000,0.00006474,0.00132876,0.00004603
5,0.010,1.0000,0.04907491,0.37507884,0.43096229
5,0.100,0.0000,0.00001232,0.00026967,0.00004224
5,0.100,0.0001,0.00001232,0.00026967,0.00004223
5,0.100,0.0010,0.00001229,0.00026962,0.00004221
5,0.100,0.0100,0.00001193,0.00026919,0.00004190
5,0.100,0.1000,0.00000679,0.00026664,0.00003338
5,0.100,0.5000,0.00000669,0.00022414,0.00004783
5,0.100,0.7000,0.00001605,0.00037732,0.00010618
5,0.100,0.9000,0.03463265,0.04551602,0.08711431
5,0.100,1.0000,0.07015705,0.22950889,1.88978118
5,0.500,0.0000,0.00003128,0.00016278,0.00013132
5,0.500,0.0001,0.00003128,0.00016276,0.00013132
5,0.500,0.0010,0.00003120,0.00016258,0.00013130
5,0.500,0.0100,0.00003027,0.00016083,0.00013096
5,0.500,0.1000,0.00002114,0.00015121,0.00012102
5,0.500,0.5000,0.00003102,0.00029919,0.00009319
5,0.500,0.7000,0.00004255,0.00150313,0.00031048
5,0.500,0.9000,0.00333148,0.05456727,0.13352916
5,0.500,1.0000,0.00334370,0.00944780,1.10787612
5,0.700,0.0000,0.00008703,0.00027033,0.00045090
5,0.700,0.0001,0.00008655,0.00027102,0.00045080
5,0.700,0.0010,0.00008441,0.00027562,0.00044792
5,0.700,0.0100,0.00007740,0.00028029,0.00043500
5,0.700,0.1000,0.00004017,0.00020319,0.00027337
5,0.700,0.5000,0.00009036,0.00054927,0.00075188
5,0.700,0.7000,0.00057432,0.00283684,0.00169233
5,0.700,0.9000,0.00121922,0.05607470,0.12683341
5,0.700,1.0000,0.01035787,0.13743613,1.41335229
5,0.900,0.0000,0.00539896,0.00880983,0.10082160
5,0.900,0.0001,0.00540015,0.00880871,0.10081312
5,0.900,0.0010,0.00541098,0.00880396,0.10073697
5,0.900,0.0100,0.00552026,0.00873748,0.09999388
5,0.900,0.1000,0.00539301,0.00827870,0.09418057
5,0.900,0.5000,0.00025934,0.00085631,0.00139529
5,0.900,0.7000,0.00222626,0.00394771,0.00718881
5,0.900,0.9000,0.00222130,0.07889884,0.18681755
5,0.900,1.0000,0.00105126,0.00356254,1.11048407
5,1.000,0.0000,0.00520971,0.00985226,0.11616573
5,1.000,0.0001,0.00521031,0.00985102,0.11615133
5,1.000,0.0010,0.00521557,0.00983986,0.11602226
5,1.000,0.0100,0.00523446,0.00973244,0.11478525
5,1.000,0.1000,0.00385799,0.00905739,0.10618254
5,1.000,0.5000,0.00093443,0.01142885,0.10370077
5,1.000,0.7000,0.00143260,0.01778355,0.09214670
5,1.000,0.9000,0.00039257,0.07498378,0.17084765
5,1.000,1.0000,9.64994591,23331.41214694,96381.41179569
3,0.010,0.7000,0.00002484,0.00098829,0.00002538
4,0.010,0.7000,0.00002955,0.00081072,0.00003007
5,0.010,0.7000,0.00002995,0.00083660,0.00003044
6,0.010,0.7000,0.00003372,0.00084784,0.00003804
7,0.010,0.7000,0.00000841,0.00108348,0.00001299
8,0.010,0.7000,0.00001325,0.00092063,0.00001461
9,0.010,0.7000,0.00000590,0.00079797,0.00000684
10,0.010,0.7000,0.00001584,0.00081696,0.00001810
15,0.010,0.7000,0.00000805,0.00091775,0.00001815
20,0.010,0.7000,0.00000349,0.00097794,0.00000973
25,0.010,0.7000,0.00000420,0.00082271,0.00001686
30,0.010,0.7000,0.00000159,0.00097110,0.00000963
50,0.010,0.7000,0.00001050,0.00112664,0.00002615
100,0.010,0.7000,0.00014033,0.00146483,0.00092362
5,0.010,0.7000,0.00002995,0.00083660,0.00003044
